;Date;DAX;DlogDAX;y1;y2;y3
122;2000-06-26;7027,19;0,667925611;0,833166417;0,694166279;0
123;2000-06-27;7048,96;0,30931778;-0,339545224;0,115290959;0,115290959
124;2000-06-28;7056,05;0,100531664;0,316514533;0,10018145;0
125;2000-06-29;6874,54;-2,606067262;-0,950151738;0,902788325;0,902788325
126;2000-06-30;6898,21;0,343722543;0,741612258;0,549988742;0
127;2000-07-03;6958,96;0,876808024;1,065036409;1,134302553;0
128;2000-07-05;6961,73;0,039796878;-1,496632048;2,239907487;2,239907487
129;2000-07-06;6951,09;-0,152952487;0,645617808;0,416822354;0
130;2000-07-07;7052,22;1,444397906;1,424844061;2,030180598;0
131;2000-07-10;7070,82;0,263399534;-0,035826781;0,001283558;0,001283558
132;2000-07-11;7003,98;-0,94978973;0,45524206;0,207245333;0
133;2000-07-12;7065,97;0,881174434;0,739405865;0,546721034;0
134;2000-07-13;7195,99;1,823362318;0,29729416;0,088383817;0
135;2000-07-14;7318,38;1,686506558;1,054156377;1,111245668;0
136;2000-07-17;7430,7;1,523107494;0,095823679;0,009182178;0
137;2000-07-18;7406,91;-0,320671865;-1,057766914;1,118870845;1,118870845
138;2000-07-19;7366,57;-0,546115069;-0,861833668;0,742757271;0,742757271
139;2000-07-20;7480,14;1,529931079;0,775820785;0,601897891;0
140;2000-07-21;7373,26;-1,43915662;-0,981393429;0,963133062;0,963133062
141;2000-07-24;7328,31;-0,611501222;-1,125293485;1,266285426;1,266285426
142;2000-07-25;7329,04;0,009960873;0,47860143;0,229059329;0
143;2000-07-26;7302,12;-0,367982175;-1,565078765;2,449471541;2,449471541
144;2000-07-27;7183,44;-1,638633999;-0,251500086;0,063252293;0,063252293
145;2000-07-28;7128,3;-0,770560013;-2,238494981;5,010859779;5,010859779
146;2000-07-31;7190,37;0,866985395;0,523619657;0,274177545;0
147;2000-08-01;7145,53;-0,625564439;0,460720761;0,21226362;0
148;2000-08-02;7112,45;-0,464021683;0,046143088;0,002129185;0
149;2000-08-03;7037,91;-1,053551846;0,967178116;0,935433508;0
150;2000-08-04;7016,59;-0,303390606;0,685121198;0,469391057;0
151;2000-08-07;7113,22;1,367767952;1,24571258;1,551799832;0
152;2000-08-08;7123,81;0,14876701;0,373404541;0,139430951;0
153;2000-08-09;7226,71;1,434118953;-0,601658367;0,361992791;0,361992791
154;2000-08-10;7280,97;0,74802109;-0,876099075;0,76754959;0,76754959
155;2000-08-11;7322,98;0,575325386;0,695269994;0,483400365;0
156;2000-08-14;7331,67;0,118597183;1,376643518;1,895147376;0
157;2000-08-15;7307,43;-0,331168202;-0,330238628;0,109057551;0,109057551
158;2000-08-16;7315,27;0,107230549;-0,315274124;0,099397773;0,099397773
159;2000-08-17;7278,43;-0,504876464;0,982581432;0,965466271;0
160;2000-08-18;7232,42;-0,634148299;-0,202590845;0,04104305;0,04104305
161;2000-08-21;7199,34;-0,458434147;0,601047979;0,361258673;0
162;2000-08-22;7249,2;0,69017628;-0,102366615;0,010478924;0,010478924
163;2000-08-23;7232,78;-0,226764669;0,515281546;0,265515072;0
164;2000-08-24;7230,26;-0,034847446;0,2235367;0,049968656;0
165;2000-08-25;7307,17;1,05810611;-0,109107079;0,011904355;0,011904355
166;2000-08-28;7339,22;0,437651205;0,511115646;0,261239203;0
167;2000-08-29;7294,4;-0,612563947;-0,267565699;0,071591403;0,071591403
168;2000-08-30;7185,56;-1,503347383;-0,468109318;0,219126333;0,219126333
169;2000-08-31;7216,45;0,428968559;0,933696581;0,871789305;0
